index,hit_ticks,miss_ticks
0,76,942
1,78,942
2,78,940
3,78,938
4,78,946
5,78,942
6,78,942
7,78,942
8,78,942
9,78,940
10,78,940
11,78,942
12,78,940
13,76,1482
14,78,944
15,78,936
16,78,942
17,78,940
18,78,944
19,78,944
20,78,948
21,78,1464
22,78,944
23,78,958
24,78,954
25,78,952
26,78,960
27,82,950
28,78,962
29,78,950
30,78,1428
31,78,948
32,78,954
33,78,968
34,78,972
35,78,972
36,78,968
37,78,968
38,78,972
39,78,966
40,78,1140
41,78,972
42,78,974
43,78,966
44,78,972
45,78,972
46,78,990
47,78,992
48,78,998
49,78,988
50,78,996
51,78,988
52,78,996
53,78,996
54,78,1000
55,78,996
56,78,990
57,78,984
58,78,1024
59,78,1024
60,78,1018
61,78,1014
62,78,1026
63,78,1020
64,78,1020
65,78,1028
66,78,1014
67,78,1014
68,78,1020
69,78,1026
70,78,1062
71,78,1066
72,78,1068
73,78,1074
74,78,1060
75,78,1064
76,78,1074
77,78,1076
78,78,1066
79,84,1068
80,78,1064
81,78,1070
82,78,1074
83,78,1068
84,78,1068
85,78,1058
86,78,1058
87,78,1066
88,78,1068
89,78,1066
90,78,1074
91,78,1072
92,78,1062
93,78,1060
94,78,1080
95,78,1544
96,78,1068
97,78,1072
98,78,1074
99,78,1064
