index,hit_ticks,miss_ticks
0,100,1022
1,98,1008
2,100,1004
3,100,1010
4,98,1014
5,98,1002
6,98,1004
7,98,1018
8,96,1008
9,100,1012
10,100,1010
11,98,1016
12,98,1006
13,98,1022
14,102,1006
15,100,1004
16,100,1010
17,98,1012
18,98,1012
19,100,1004
20,102,1012
21,98,1012
22,100,1006
23,102,1008
24,96,1010
25,98,1002
26,102,1010
27,98,1002
28,100,1022
29,102,1008
30,98,1006
31,102,1004
32,100,1010
33,98,1008
34,98,1010
35,104,1020
36,98,1010
37,98,1004
38,102,1022
39,98,1020
40,98,1008
41,98,1002
42,100,1008
43,100,1006
44,102,1006
45,104,1018
46,100,1008
47,100,1004
48,100,1008
49,100,1010
50,102,1010
51,96,1008
52,100,1014
53,104,1004
54,100,1014
55,102,1008
56,100,1026
57,98,1012
58,100,1008
59,100,1012
60,100,1012
61,98,1010
62,100,1008
63,98,1008
64,98,1010
65,100,1006
66,98,1012
67,100,1018
68,108,1014
69,106,1006
70,106,1016
71,102,1014
72,108,1014
73,102,1006
74,104,1018
75,100,1026
76,102,1018
77,104,1012
78,108,1018
79,106,1008
80,102,1014
81,106,1016
82,108,1018
83,102,1020
84,106,1008
85,102,1010
86,102,1014
87,104,1006
88,106,1494
89,100,1006
90,100,1206
91,98,1236
92,100,1242
93,98,1226
94,98,1290
95,98,1238
96,98,1284
97,100,1242
98,102,1276
99,100,1228
100,100,1284
101,102,1252
102,98,1266
103,102,1124
104,100,1020
105,100,1086
106,100,1014
107,98,1010
108,100,1064
109,98,1114
110,98,1066
111,100,1068
112,100,1070
113,98,1066
114,98,1068
115,102,1104
116,102,1098
117,100,1092
118,98,1098
119,102,1104
120,100,1088
121,98,1092
122,104,1098
123,98,1094
124,98,1094
125,102,1092
126,98,1102
127,100,1096
128,100,1098
129,98,1108
130,100,1098
131,98,1094
132,102,1572
133,100,1098
134,102,1092
135,98,1088
136,100,1038
137,102,1104
138,100,1100
139,98,1094
140,98,1096
141,100,1104
142,102,1098
143,96,1094
144,98,1098
145,100,1094
146,98,1092
147,98,1104
148,100,1100
149,100,1092
150,98,1104
151,98,1044
152,100,1100
153,98,1092
154,100,1094
155,100,1580
156,98,1092
157,96,1104
158,100,1094
159,98,1098
160,100,1092
161,98,1100
162,100,1092
163,98,1098
164,98,1098
165,100,1092
166,98,1096
167,100,1092
168,100,1096
169,98,1104
170,98,1096
171,98,1096
172,100,1092
173,100,1098
174,98,1622
175,98,1092
176,100,1094
177,98,1108
178,100,1086
179,98,1098
180,96,1096
181,98,1092
182,100,1096
183,100,1102
184,98,1094
185,96,1092
186,98,1090
187,100,1098
188,96,1094
189,98,1110
190,102,1094
191,98,1100
192,100,1102
193,100,1560
194,100,1102
195,98,1096
196,100,1096
197,100,1092
198,100,1092
199,98,1090
200,100,1094
201,100,1104
202,100,1098
203,100,1092
204,98,1094
205,98,1092
206,100,1092
207,104,1092
208,102,1092
209,98,1094
210,98,1090
211,100,1094
212,98,1560
213,100,1098
214,100,1098
215,100,1098
216,100,1090
217,96,1092
218,98,1100
219,100,1098
220,98,1092
221,98,1092
222,100,1102
223,98,1096
224,98,1098
225,98,1100
226,100,1098
227,100,1092
228,98,1102
229,100,1098
230,100,1098
231,98,1564
232,100,1098
233,96,1098
234,98,1096
235,98,1090
236,100,1092
237,100,1110
238,98,1092
239,100,1094
240,104,1106
241,102,1100
242,98,1094
243,100,1094
244,98,1104
245,98,1098
246,98,1096
247,100,1102
248,98,1098
249,98,1092
250,100,1632
251,98,1098
252,98,1096
253,100,1092
254,100,1102
255,102,1096
256,96,1094
257,98,1092
258,100,1104
259,100,1098
260,100,1088
261,100,1104
262,98,1092
263,98,1088
264,100,1098
265,100,1098
266,94,1094
267,100,1086
268,100,1092
269,98,1570
270,98,1098
271,100,1092
272,98,1104
273,100,1096
274,100,1094
275,100,1094
276,100,1096
277,100,1098
278,98,1090
279,98,1094
280,100,1098
281,98,1098
282,100,984
283,102,976
284,102,1010
285,100,988
286,98,988
287,100,1104
288,100,1656
289,100,1098
290,100,1258
291,102,1098
292,98,1092
293,98,1098
