trace,pt00,pt01,pt02,pt03,pt04,pt05,pt06,pt07,pt08,pt09,pt10,pt11,pt12,pt13,pt14,pt15,ct00,ct01,ct02,ct03,ct04,ct05,ct06,ct07,ct08,ct09,ct10,ct11,ct12,ct13,ct14,ct15,te0_line00_ticks,te0_line01_ticks,te0_line02_ticks,te0_line03_ticks,te0_line04_ticks,te0_line05_ticks,te0_line06_ticks,te0_line07_ticks,te0_line08_ticks,te0_line09_ticks,te0_line10_ticks,te0_line11_ticks,te0_line12_ticks,te0_line13_ticks,te0_line14_ticks,te0_line15_ticks,te1_line00_ticks,te1_line01_ticks,te1_line02_ticks,te1_line03_ticks,te1_line04_ticks,te1_line05_ticks,te1_line06_ticks,te1_line07_ticks,te1_line08_ticks,te1_line09_ticks,te1_line10_ticks,te1_line11_ticks,te1_line12_ticks,te1_line13_ticks,te1_line14_ticks,te1_line15_ticks,te2_line00_ticks,te2_line01_ticks,te2_line02_ticks,te2_line03_ticks,te2_line04_ticks,te2_line05_ticks,te2_line06_ticks,te2_line07_ticks,te2_line08_ticks,te2_line09_ticks,te2_line10_ticks,te2_line11_ticks,te2_line12_ticks,te2_line13_ticks,te2_line14_ticks,te2_line15_ticks,te3_line00_ticks,te3_line01_ticks,te3_line02_ticks,te3_line03_ticks,te3_line04_ticks,te3_line05_ticks,te3_line06_ticks,te3_line07_ticks,te3_line08_ticks,te3_line09_ticks,te3_line10_ticks,te3_line11_ticks,te3_line12_ticks,te3_line13_ticks,te3_line14_ticks,te3_line15_ticks
0,a5,a3,c4,98,88,4d,1d,29,a7,11,f8,f8,a0,15,c6,69,36,ff,e5,98,2f,ba,a7,9c,59,85,f8,56,d6,02,a1,a9,166,162,162,1032,162,904,964,158,170,168,162,164,162,162,174,168,162,864,158,238,164,154,174,1638,168,158,848,156,170,164,166,174,162,174,174,162,244,174,162,164,170,162,176,162,166,158,164,178,156,984,160,162,166,174,168,158,156,166,162,162,176,932,168,160
1,92,9d,c9,94,bf,3e,0c,21,d6,51,68,f9,84,7b,fa,ac,12,6e,09,9d,f5,91,a9,9d,b1,bc,9b,4f,eb,79,b2,e8,226,1026,166,156,158,164,168,162,156,162,172,166,158,156,168,168,174,916,156,964,188,840,182,166,174,166,162,162,162,174,172,184,164,162,164,162,864,178,180,166,166,162,174,166,170,166,156,932,168,984,168,166,156,176,168,172,162,162,174,166,166,174,168,176
2,47,59,ac,07,ac,9a,62,0e,ee,d2,29,0d,f5,14,be,19,8f,0a,26,54,35,e2,c3,69,56,61,a5,a4,c4,33,dc,bf,918,972,942,1030,168,984,162,900,168,918,930,1566,1282,1046,1048,166,1396,938,164,160,966,928,928,926,1008,916,938,848,896,166,906,1136,954,990,966,162,906,1062,906,902,996,1040,1026,152,916,906,1318,166,1038,172,156,890,930,974,922,970,168,942,162,1032,974,1000,976,990
3,5d,c0,a5,00,cd,ef,04,08,0e,ca,5f,ec,b8,79,98,87,79,e4,b9,c8,e7,2c,ed,94,b6,50,b9,6c,15,12,6d,52,1284,978,1040,944,912,1306,1028,156,988,916,164,162,1074,1048,158,888,890,914,846,160,164,1644,960,930,910,1032,164,168,942,1344,900,914,956,936,964,846,158,958,910,904,984,908,928,160,914,162,1018,946,976,166,1044,994,1476,984,168,978,916,976,160,160,992,1524,990,944
4,17,b9,fc,65,13,73,d3,63,24,82,82,5c,c4,09,0a,3d,90,5a,55,d9,e1,9c,a3,82,6e,de,30,d0,d8,e5,b6,75,924,990,940,154,1014,918,1020,960,168,922,982,966,164,946,886,876,954,918,892,960,958,914,966,156,1010,1048,900,982,158,158,890,1110,158,952,1062,882,166,958,916,906,1002,164,936,924,980,890,160,966,170,960,920,886,912,966,918,156,948,974,974,914,162,156,974,932
5,cc,2d,5c,c3,17,79,40,7a,0e,ef,2d,70,36,dd,66,ba,5d,3f,5f,0d,96,c6,5b,d3,ef,f4,66,9c,05,92,f6,5e,950,972,1020,160,1014,954,1040,1014,988,930,158,868,1012,946,158,876,972,150,846,916,962,156,866,914,1246,1134,918,1086,906,158,896,900,954,998,160,162,162,948,936,1058,982,162,930,1384,854,1236,1020,960,990,990,1494,880,930,976,1028,1570,162,1038,978,984,992,162,980,162
6,ad,18,f2,08,a5,07,82,15,60,47,2b,3e,08,57,79,1b,ad,bf,03,4e,7e,97,8a,19,1f,a4,a7,3f,d2,72,12,0c,158,1008,920,942,918,960,1042,1062,162,924,1054,930,166,1042,924,922,1016,922,858,972,1220,928,162,1302,900,162,166,162,958,1006,942,896,1026,950,1038,174,920,162,1008,1048,982,944,1026,912,974,990,166,1014,996,162,164,936,912,972,912,1028,924,1240,1284,158,1032,952,918,1514
7,ff,b7,aa,a5,aa,59,49,b5,ea,e1,ac,63,ab,e1,d5,1e,1a,83,4d,3c,8a,ec,02,a4,0d,5f,e2,8c,fd,93,4a,ce,918,966,918,1100,162,904,926,950,158,940,156,864,1068,160,924,924,168,162,162,972,1016,922,978,924,892,938,906,858,158,1020,1430,166,1016,946,1032,1008,918,1008,918,972,1074,156,1022,158,924,908,1032,954,994,166,160,950,916,976,1036,974,912,978,1050,156,996,972,162,878
8,41,77,4e,bf,78,14,13,c2,36,f9,98,ae,28,c0,f5,23,cc,1a,ff,a5,bb,96,91,30,ed,a5,dc,b8,22,48,36,b7,942,974,158,888,920,168,164,1000,1054,156,874,920,1058,1032,1012,912,158,160,834,962,1008,1234,1326,950,922,906,904,144,1298,956,900,906,956,950,968,1168,910,154,904,1018,162,1026,1278,164,168,894,972,998,984,166,162,932,966,1410,154,1020,906,1092,166,940,1044,1004,1082,880
9,76,7f,17,5d,1c,ae,ab,c3,be,6e,0d,45,d8,03,e7,56,20,53,17,cc,27,9e,b3,c7,13,55,2a,a0,79,24,35,aa,918,168,916,166,968,160,936,1280,948,1032,960,978,1010,164,936,954,160,1376,1230,924,1028,944,870,926,962,158,906,978,156,962,996,1028,166,164,1026,834,916,958,162,162,1042,920,160,870,912,902,1026,956,1172,1102,1104,952,164,976,164,924,892,932,1446,1026,164,1046,948,938
