trace,round_start_tsc,round_done_tsc,rest_start_tsc,trace_done_tsc,first_round_cycles,attacker_measurement_window_cycles,rest_aes_cycles,trace_wall_cycles
0,234987214198231,234987214199579,234987214229083,234987214230889,1348,29504,1806,32658
1,234987214371563,234987214372867,234987214400843,234987214401703,1304,27976,860,30140
2,234987214490803,234987214491959,234987214555721,234987214556399,1156,63762,678,65596
3,234987214644395,234987214645577,234987214709299,234987214709963,1182,63722,664,65568
4,234987214841303,234987214842475,234987214903931,234987214904605,1172,61456,674,63302
5,234987214991101,234987214992259,234987215057275,234987215057953,1158,65016,678,66852
6,234987215145067,234987215146223,234987215211095,234987215211799,1156,64872,704,66732
7,234987215299321,234987215300485,234987215362177,234987215362873,1164,61692,696,63552
8,234987215463937,234987215465107,234987215528191,234987215528881,1170,63084,690,64944
9,234987215615665,234987215616823,234987215679721,234987215680397,1158,62898,676,64732
10,234987215767141,234987215768303,234987215830439,234987215831129,1162,62136,690,63988
11,234987215917465,234987215918665,234987215979875,234987215980555,1200,61210,680,63090
12,234987216066577,234987216067765,234987216130121,234987216130789,1188,62356,668,64212
13,234987216216971,234987216218131,234987216281917,234987216282583,1160,63786,666,65612
14,234987216368903,234987216370079,234987216431165,234987216431825,1176,61086,660,62922
15,234987216517769,234987216519569,234987216581011,234987216581687,1800,61442,676,63918
16,234987216667799,234987216668983,234987216730799,234987216731467,1184,61816,668,63668
17,234987216818713,234987216819883,234987216882163,234987216882857,1170,62280,694,64144
18,234987216968879,234987216970025,234987217033855,234987217034549,1146,63830,694,65670
19,234987217131073,234987217132231,234987217194499,234987217195159,1158,62268,660,64086
20,234987217282477,234987217283629,234987217346095,234987217346743,1152,62466,648,64266
21,234987217432631,234987217433807,234987217494737,234987217495421,1176,60930,684,62790
22,234987217582193,234987217584361,234987217646911,234987217647593,2168,62550,682,65400
23,234987217733455,234987217734631,234987217800653,234987217801355,1176,66022,702,67900
24,234987217896107,234987217897291,234987217957571,234987217958231,1184,60280,660,62124
25,234987218044303,234987218046545,234987218109389,234987218110063,2242,62844,674,65760
26,234987218196323,234987218197469,234987218260853,234987218261515,1146,63384,662,65192
27,234987218347529,234987218349677,234987218409997,234987218410663,2148,60320,666,63134
28,234987218496113,234987218497279,234987218560867,234987218561525,1166,63588,658,65412
29,234987218648417,234987218649625,234987218710927,234987218711635,1208,61302,708,63218
30,234987218798525,234987218800699,234987218862325,234987218862997,2174,61626,672,64472
31,234987218958073,234987218959247,234987219021391,234987219022019,1174,62144,628,63946
32,234987219108179,234987219110339,234987219173411,234987219174085,2160,63072,674,65906
33,234987219259679,234987219261833,234987219323551,234987219324205,2154,61718,654,64526
34,234987219410303,234987219411469,234987219473849,234987219474527,1166,62380,678,64224
35,234987219560731,234987219561901,234987219626605,234987219627259,1170,64704,654,66528
36,234987219713669,234987219714851,234987219777253,234987219777929,1182,62402,676,64260
37,234987219863347,234987219864485,234987219927557,234987219928231,1138,63072,674,64884
38,234987220014311,234987220015435,234987220077185,234987220077845,1124,61750,660,63534
39,234987220164085,234987220165231,234987220229279,234987220229957,1146,64048,678,65872
40,234987220317007,234987220319153,234987220379903,234987220380571,2146,60750,668,63564
41,234987220467239,234987220468375,234987220532045,234987220532717,1136,63670,672,65478
42,234987220628041,234987220629389,234987220654603,234987220655227,1348,25214,624,27186
43,234987220744229,234987220745933,234987220808479,234987220809181,1704,62546,702,64952
44,234987220906091,234987220907257,234987220969151,234987220969805,1166,61894,654,63714
45,234987221069393,234987221070569,234987221132417,234987221133067,1176,61848,650,63674
46,234987221222215,234987221223397,234987221285945,234987221286611,1182,62548,666,64396
47,234987221375233,234987221377403,234987221440009,234987221440667,2170,62606,658,65434
48,234987221533205,234987221534447,234987221596595,234987221597267,1242,62148,672,64062
49,234987221689571,234987221690795,234987221754523,234987221755193,1224,63728,670,65622
50,234987221847505,234987221849687,234987221912843,234987221913527,2182,63156,684,66022
51,234987222006901,234987222008129,234987222071567,234987222072223,1228,63438,656,65322
52,234987222164567,234987222165775,234987222228763,234987222229427,1208,62988,664,64860
